# 1:x 2:y 3:p 4:u.x 5:u.y 6:g.x 7:g.y 8:pf 9:uf.x 10:uf.y 11:f 12:predicted_ux 13:predicted_uy
0 2.83203 0.000782272 -0.000413719 3.32614e-05 -0.0320838 0.00237897 0.00181734 -0.000413536 3.31331e-05 0 -0.114381 -0.0431313
0 2.88085 0.000665071 -0.000350783 3.34037e-05 -0.0272762 0.00240261 0.00166291 -0.000350631 3.33738e-05 0 -0.114379 -0.0431313
0 2.92968 0.000547642 -0.000287643 3.38012e-05 -0.0224324 0.00248334 0.00149739 -0.000287639 3.34369e-05 0 -0.114378 -0.0431313
0 2.97851 0.000422557 -0.000223719 3.3576e-05 -0.0174316 0.00241036 0.00126363 -0.000223181 3.41889e-05 0 -0.114377 -0.0431314
0 3.02734 0.000312255 -0.000160501 3.40346e-05 -0.0126261 0.00251929 0.00112512 -0.000161214 3.29089e-05 0 -0.114376 -0.0431314
0 3.07617 0.000176533 -9.57943e-05 3.39333e-05 -0.00743462 0.00249673 0.000777692 -9.49064e-05 3.51667e-05 0 -0.114375 -0.0431314
0 3.12499 6.8433e-05 -3.44421e-05 3.40127e-05 -0.00261085 0.00250845 0.000636026 -3.5279e-05 3.27156e-05 0 -0.114375 -0.0431314

0.0488281 -3.125 6.16573e-05 -3.1919e-05 -3.19065e-05 -0.00221641 -0.00221299 0.000717126 -3.32651e-05 -3.32675e-05 0 -0.112271 -0.0566201
0.0488281 -3.07617 6.16573e-05 -3.1919e-05 -3.19065e-05 -0.00221641 -0.00221299 0.000717126 -3.32651e-05 -3.32675e-05 0 -0.112271 -0.0566201
0.0488281 -3.02734 0.000154455 -9.0435e-05 -3.10656e-05 -0.00620345 -0.00192383 0.00081172 -9.09707e-05 -3.07547e-05 0 -0.111952 -0.0569352
